Source,Target
10281,ID81706049
10285,ID61657199
10285,ID42031867
10285,ID85068732
10298,ID99361449
10298,ID98780944
10298,ID72264068
10301,ID93544363
10301,ID92723384
10301,ID84595701
10331,ID96173168
10331,ID02728347
10331,ID72170200
10480,ID69464236
10480,ID83443234
10480,ID58420282
10886,ID83533057
10886,ID87110947
10886,ID89318966
10969,ID20583529
10969,ID23978212
10969,ID97780364
10971,ID96173168
10971,ID72811124
10971,ID08045543
11097,ID05233588
11097,ID69671588
11097,ID24349376
11103,ID48414987
11103,ID93081104
11103,ID10029297
11338,ID29922475
11338,ID07152078
11338,ID15759419
11568,ID96173168
11568,ID39565903
11568,ID09586607
11681,ID96173168
11681,ID39565903
11681,ID72170200
11768,ID05233588
11768,ID83478486
11768,ID03438925
11795,ID45907793
11795,ID75853979
11795,ID90591918
11804,ID45907793
11804,ID92481333
11804,ID96583194
11824,ID57978417
11824,ID40997076
11824,ID69238080
11826,ID62878800
11826,ID88496973
11826,ID96583194
11941,ID16014628
11941,ID89652843
11941,ID01673615
11986,ID24350002
11986,ID29922475
11986,ID07152078
12060,ID46599857
12060,ID03812346
12060,ID64402265
12121,ID87587523
12121,ID27297731
12121,ID39158507
12185,ID43248075
12185,ID30828126
12185,ID46571475
12288,ID75451974
12288,ID15237067
12288,ID54641859
12349,ID62473443
12349,ID68335040
12349,ID33026262
12566,ID19069416
12566,ID29922475
12566,ID17507313
12576,ID20583529
12576,ID24619318
12576,ID46203955
12618,ID59307461
12618,ID81805616
12618,ID75959176
12658,ID64870362
12658,ID99948411
12658,ID23829612
12679,ID22768508
12679,ID52504387
12679,ID74854148
12759,ID69464236
12759,ID77535122
12759,ID11348882
12810,ID19069416
12810,ID29922475
12810,ID94769865
12845,ID32493641
12845,ID27839076
12845,ID85967606
12850,ID69464236
12850,ID76013373
12850,ID22218713
12852,ID03533746
12852,ID27454415
12852,ID08064115
12885,ID69464236
12885,ID76013373
12885,ID22218713
12924,ID35776622
12924,ID88892945
12924,ID84525184
13070,ID96173168
13070,ID81809381
13070,ID33976463
13391,ID69464236
13391,ID40568044
13391,ID88598321
13409,ID24350002
13409,ID29922475
13409,ID86764693
13466,ID18213619
13466,ID68294368
13466,ID88483809
13467,ID20583529
13467,ID46203955
13467,ID24619318
13512,ID35776622
13512,ID84525184
13512,ID88892945
13574,ID68630355
13574,ID38465148
13574,ID90562706
13579,ID77134168
13579,ID87447550
13579,ID41971883
14091,ID14741935
14091,ID27430736
14091,ID65990787
14095,ID99361449
14095,ID39994881
14095,ID25786524
14108,ID32493641
14108,ID27526246
14108,ID94842689
14149,ID69464236
14149,ID77535122
14149,ID22218713
14258,ID32493641
14258,ID29791150
14258,ID70247568
14373,ID60507252
14373,ID27297731
14373,ID98351943
14750,ID73615343
14750,ID71667249
14750,ID37608454
14769,ID29922475
14769,ID44213967
14769,ID72533929
14866,ID90581933
14866,ID29374552
14866,ID22218593
14874,ID73615343
14874,ID71667249
14874,ID37608454
14884,ID92025304
14884,ID73522592
14884,ID15091188
14890,ID90581933
14890,ID29374552
14890,ID85818454
15215,ID96173168
15215,ID26170388
15215,ID37463657
15248,ID29922475
15248,ID28793218
15248,ID20679723
15362,ID15877621
15362,ID52703114
15362,ID32684271
15474,ID38465148
15474,ID04705765
15474,ID51362301
15520,ID41310762
15520,ID27297731
15520,ID49601449
15895,ID18213619
15895,ID06917851
15895,ID15314544
16015,ID27297731
16015,ID54814239
16015,ID07161776
16450,ID69464236
16450,ID30478413
16450,ID51029565
17137,ID45434939
17137,ID48655265
17137,ID50572901
18367,ID68928451
18367,ID82098510
18367,ID24284253
18416,ID31676821
18416,ID06909194
18416,ID39847797
18582,ID32493641
18582,ID05209052
18582,ID41928514
19011,ID68928451
19011,ID24284253
19011,ID57010031
19128,ID32493641
19128,ID05209052
19128,ID43870768
420,ID42482331
420,ID58704090
420,ID82466535
420,ID48879084
997,ID15877621
997,ID17236528
997,ID99280318
997,ID50774610
998,ID18712202
998,ID45341395
998,ID50228171
998,ID10869266
1011,ID61657199
1011,ID79806175
1011,ID10732843
1011,ID85355636
1119,ID25198302
1119,ID14290488
1119,ID08912926
1119,ID22673821
1139,ID40319925
1139,ID87110947
1139,ID88836389
1139,ID83045017
1369,ID62473443
1369,ID55080949
1369,ID93571820
1369,ID51784486
3239,ID57978417
3239,ID61839333
3239,ID62790965
3239,ID71361467
3289,ID71202918
3289,ID04576850
3289,ID58392237
3289,ID23357219
3326,ID87110947
3326,ID61132495
3326,ID83659160
3326,ID03194102
3330,ID35776622
3330,ID63972748
3330,ID26835704
3330,ID96899548
3436,ID96173168
3436,ID72637896
3436,ID05609406
3436,ID09815498
3504,ID24350002
3504,ID29922475
3504,ID07152078
3504,ID35933829
3556,ID37406539
3556,ID90300361
3556,ID27189277
3556,ID44803492
3726,ID94629296
3726,ID81881748
3726,ID84868075
3726,ID07321836
3728,ID94629296
3728,ID84868075
3728,ID81881748
3728,ID07321836
4675,ID24350002
4675,ID73353411
4675,ID29922475
4675,ID70930579
4721,ID74717444
4721,ID71538452
4721,ID26403409
4721,ID49443717
5760,ID68117417
5760,ID79089974
5760,ID60665154
5760,ID00725293
5799,ID75451974
5799,ID87768439
5799,ID88390536
5799,ID70899638
5925,ID44686006
5925,ID86364376
5925,ID68561656
5925,ID57670382
6427,ID18712202
6427,ID50228171
6427,ID43409484
6427,ID37803329
6544,ID96173168
6544,ID72637896
6544,ID79853377
6544,ID09815498
6549,ID96173168
6549,ID05609406
6549,ID12179336
6549,ID09815498
6628,ID43248075
